,,,,,,Total of Displayed Rows,,,"145,106,561","691,533","145,798,094","147,609,685","65,462,721","213,072,406","219,868,448","124,897,313","344,765,761",
Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2025 Actuals,FY 2025 Reconciliation,FY 2025 Total,FY 2026 Discretionary Enacted,FY 2026 PL 119-21 Spend Plan,FY 2026 Total,FY 2027 Discretionary Request,FY 2027 Mandatory Request,FY 2027 Total,Classification
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,70,0207448F,C2ISR Tactical Data Link,Y,"3,383",,"3,383",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,71,0207455F,Three Dimensional Long-Range Radar (3DELRR),Y,"7,809",,"7,809","12,677",,"12,677","22,335",,"22,335",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,72,0207522F,Airbase Air Defense Systems (ABADS),Y,"19,273",,"19,273","15,666",,"15,666","85,305",,"85,305",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,73,0207606F,Joint Simulation Environment (JSE),Y,"147,368",,"147,368","247,491",,"247,491","302,801",,"302,801",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,74,0208030F,War Reserve Materiel - Ammunition,Y,"5,042",,"5,042","9,732",,"9,732","14,663",,"14,663",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,75,0302060F,Looking Glass Next,Y,,,,,,,"65,277",,"65,277",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,76,0303010F,AF ISR Digital Infrastructure,Y,"18,733",,"18,733","21,711",,"21,711","24,455",,"24,455",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,77,0305236F,Common Data Link Executive Agent (CDL EA),Y,"33,349",,"33,349","32,511",,"32,511","26,401",,"26,401",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,78,0305601F,Mission Partner Environments,Y,"17,765",,"17,765","36,755",,"36,755",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,79,0305913F,Persistent Surveillance,Y,,,,,,,"29,325",,"29,325",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,80,0701200F,Enterprise Select Class II,Y,,,,986,,986,949,,949,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,81,0708051F,Rapid Sustainment Modernization (RSM),Y,"48,361",,"48,361","45,918",,"45,918","27,475",,"27,475",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,82,0808736F,Special Victim Accountability and Investigation,Y,"3,023",,"3,023","1,970",,"1,970","1,652",,"1,652",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,83,0808737F,Integrated Primary Prevention,Y,"5,041",,"5,041","5,096",,"5,096","4,271",,"4,271",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,84,0901410F,Contracting Information Technology System,Y,"28,088",,"28,088","28,876",,"28,876","25,815",,"25,815",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,04,Advanced component development and prototypes,85,1206415F,U.S. Space Command Research and Development Support,Y,"23,553",,"23,553","33,205",,"33,205","34,719",,"34,719",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,86,0604200F,Future Advanced Weapon Analysis & Programs,Y,"8,290",,"8,290","52,398","80,000","132,398","35,142",,"35,142",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,87,0604201F,"PNT Resiliency, Mods, and Improvements",Y,"224,017",,"224,017","124,199",,"124,199","710,780",,"710,780",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,88,0604222F,Nuclear Weapons Support,Y,"68,377",,"68,377","78,326",,"78,326","86,921",,"86,921",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,89,0604270F,Electronic Warfare Development,Y,"13,648",,"13,648","18,971",,"18,971","260,233",,"260,233",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,90,0604281F,Tactical Data Networks Enterprise,Y,"76,188",,"76,188","76,418",,"76,418","110,151",,"110,151",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,91,0604287F,Physical Security Equipment,Y,"7,720",,"7,720","15,005",,"15,005","8,743",,"8,743",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,92,0604288F,Survivable Airborne Operations Center (SAOC),Y,,,,"1,801,293","64,500","1,865,793","2,218,921",,"2,218,921",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,93,0604602F,Armament/Ordnance Development,Y,"5,304",,"5,304","7,174",,"7,174","96,762",,"96,762",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,94,0604604F,Submunitions,Y,"3,427",,"3,427","3,502",,"3,502","3,599",,"3,599",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,95,0604617F,Agile Combat Support,Y,"22,977",,"22,977","23,235",,"23,235","19,348",,"19,348",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,96,0604706F,Life Support Systems,Y,"23,741",,"23,741","20,302",,"20,302","21,328",,"21,328",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,97,0604735F,Combat Training Ranges,Y,"154,258",,"154,258","147,587",,"147,587","132,783",,"132,783",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,98,0604932F,Long Range Standoff Weapon,Y,"579,557",,"579,557","446,889",,"446,889","565,679",,"565,679",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,99,0604933F,ICBM Fuze Modernization,Y,,,,"3,252",,"3,252",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,100,0605056F,Open Architecture Management,Y,"40,147",,"40,147","41,422",,"41,422","43,482",,"43,482",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,101,0605223F,Advanced Pilot Training,Y,"240,513",,"240,513","163,138",,"163,138","72,174",,"72,174",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,102,0605238F,Ground Based Strategic Deterrent EMD,Y,"1,942,400",,"1,942,400","2,616,352","2,189,000","4,805,352","4,521,370",,"4,521,370",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,103,0605296F,Microelectronics Secure Enclave,Y,,,,"103,608",,"103,608","224,664",,"224,664",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,104,0101125F,Nuclear Weapons Modernization,Y,,,,,,,"23,066",,"23,066",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,105,0102417F,Over-the-Horizon Backscatter Radar,Y,"376,997",,"376,997",,,,"173,975",,"173,975",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,106,0207039F,Cognitive Electromagnetic Warfare,Y,,,,"23,933",,"23,933","50,496",,"50,496",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,107,0207110F,F-47,Y,,,,"3,053,053","400,000","3,453,053","5,037,904",,"5,037,904",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,108,0207279F,Isolated Personnel Survivability and Recovery,Y,"9,757",,"9,757","53,948",,"53,948","16,001",,"16,001",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,109,0207328F,Stand In Attack Weapon,Y,"319,559",,"319,559","252,062",,"252,062","115,882",,"115,882",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,110,0207407F,Electromagnetic Battle Management (EMBM),Y,,,,"17,693",,"17,693","45,322",,"45,322",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,111,0207701F,Full Combat Mission Training,Y,"7,636",,"7,636","10,276",,"10,276","6,501",,"6,501",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,112,0303008F,SATURN,Y,,,,"4,917",,"4,917","4,771",,"4,771",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,113,0303267F,Auctioned Spectrum Relocation Fund,Y,"9,695",,"9,695",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,114,0303867F,AMBIT - Post-Auctioned SRF,Y,"19,453",,"19,453",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,115,0305155F,Theater Nuclear Weapon Storage & Security System,Y,"1,936",,"1,936","19,777",,"19,777",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,116,0305282F,Joint Fires Network (JFN),Y,,,,,"311,432","311,432","313,982",,"313,982",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,117,0401221F,KC-46A Tanker Squadrons,Y,"76,296",,"76,296","130,175",,"130,175","543,788",,"543,788",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,118,0401319F,VC-25B,Y,"419,617",,"419,617","594,557",,"594,557","555,195",,"555,195",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,119,0401334F,Large Aircraft Survivability Systems (LASS),Y,,,,,,,"17,996",,"17,996",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,120,0701212F,Automated Test Systems,Y,"20,962",,"20,962","29,925",,"29,925","15,900",,"15,900",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,121,0804772F,Training Developments,Y,"4,778",,"4,778","8,198",,"8,198","4,947",,"4,947",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,05,System development and demonstration,122,1203176F,Combat Survivor Evader Locator,Y,983,,983,,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,123,0604256F,Threat Simulator Development,Y,"17,078",,"17,078","40,935",,"40,935","44,526",,"44,526",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,124,0604759F,Major T&E Investment,Y,"65,962",,"65,962","157,959",,"157,959","235,405",,"235,405",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,125,0605101F,RAND Project Air Force,Y,"38,270",,"38,270","31,961",,"31,961","13,312",,"13,312",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,126,0605502F,Small Business Innovation Research,Y,"904,678",,"904,678",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,127,0605712F,Initial Operational Test & Evaluation,Y,"14,247",,"14,247","13,681",,"13,681","13,562",,"13,562",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,128,0605807F,Test and Evaluation Support,Y,"936,479",,"936,479","1,113,371",,"1,113,371","1,802,502",,"1,802,502",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,129,0605827F,Acq Workforce- Global Vig & Combat Sys,Y,"339,924",,"339,924",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,130,0605828F,Acq Workforce- Global Reach,Y,"516,240",,"516,240",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,131,0605829F,"Acq Workforce- Cyber, Network, & Bus Sys",Y,"466,068",,"466,068","435,918",,"435,918","439,592",,"439,592",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,132,0605831F,Acq Workforce- Capability Integration,Y,"305,394",,"305,394","1,153,165",,"1,153,165","1,206,669",,"1,206,669",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,133,0605832F,Acq Workforce- Advanced Prgm Technology,Y,"68,182",,"68,182",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,134,0605833F,Acq Workforce- Nuclear Systems,Y,"328,180",,"328,180","368,881",,"368,881","342,650",,"342,650",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,135,0605898F,Management HQ - R&D,Y,"6,541",,"6,541","5,960",,"5,960","6,209",,"6,209",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,136,0605976F,Facilities Restoration and Modernization - Test and Evaluation Support,Y,"94,828",,"94,828","199,363",,"199,363","367,369",,"367,369",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,137,0605978F,Facilities Sustainment - Test and Evaluation Support,Y,"63,579",,"63,579","91,969",,"91,969","298,924",,"298,924",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,138,0606017F,Requirements Analysis and Maturation,Y,"30,774",,"30,774","45,786",,"45,786","21,678",,"21,678",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,139,0606398F,Management HQ - T&E,Y,"8,081",,"8,081","7,417",,"7,417","7,507",,"7,507",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,140,0208201F,Offensive small Unmanned Aircraft Systems (sUAS),Y,,,,"4,917","12,000","16,917","30,187",,"30,187",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,141,0303255F,"Command, Control, Communication, and Computers (C4) - STRATCOM",Y,"38,161",,"38,161","61,447",,"61,447","18,068",,"18,068",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,142,0308602F,ENTEPRISE INFORMATION SERVICES (EIS),Y,"104,232",,"104,232","115,119",,"115,119","80,342",,"80,342",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,143,0702806F,Acquisition and Management Support,Y,"19,823",,"19,823","25,359",,"25,359","12,132",,"12,132",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,144,0804776F,Advanced Distributed Learning,Y,797,,797,"1,675",,"1,675",238,,238,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,145,0901215F,Productivity Investments,Y,,,,,,,"4,017",,"4,017",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,146,0909999F,Financing for Cancelled Account Adjustments,Y,787,,787,,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,06,Management support,147,1001004F,International Activities,Y,"4,098",,"4,098","4,368",,"4,368","4,514",,"4,514",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,148,0604222F,Nuclear Weapons Support,Y,,,,,,,"10,029",,"10,029",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,149,0604233F,Specialized Undergraduate Flight Training,Y,"29,132",,"29,132","56,373",,"56,373","22,071",,"22,071",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,150,0604283F,Battle Mgmt Com & Ctrl Sensor Development,Y,"66,717",,"66,717","47,298",,"47,298","44,187",,"44,187",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,151,0604445F,Wide Area Surveillance,Y,"20,722",,"20,722",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,152,0604840F,F-35 C2D2,Y,"1,099,328",,"1,099,328","960,621",,"960,621","1,128,748","939,586","2,068,334",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,153,0605018F,AF Integrated Personnel and Pay System (AF-IPPS),Y,"48,523",,"48,523","63,172",,"63,172","31,777",,"31,777",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,154,0605024F,Anti-Tamper Technology Executive Agency,Y,"65,434",,"65,434","62,803",,"62,803","130,610",,"130,610",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,155,0605117F,Foreign Materiel Acquisition and Exploitation,Y,"123,775",,"123,775",,,,"4,676",,"4,676",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,156,0605229F,HH-60W,Y,"31,646",,"31,646","40,474",,"40,474","87,881",,"87,881",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,157,0605278F,HC/MC-130 Recap RDT&E,Y,"43,597",,"43,597","77,079",,"77,079","34,932",,"34,932",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,158,0606018F,NC3 Integration,Y,"21,289",,"21,289","39,599",,"39,599","36,521",,"36,521",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,159,0101113F,B-52 Squadrons,Y,"1,019,125",,"1,019,125","888,158",,"888,158","1,478,648","101,100","1,579,748",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,160,0101122F,Air-Launched Cruise Missile (ALCM),Y,527,,527,555,,555,570,,570,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,161,0101126F,B-1B Squadrons,Y,"17,316",,"17,316","150,566",,"150,566","273,552",,"273,552",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,162,0101127F,B-2 Squadrons,Y,"44,020",,"44,020","72,351",,"72,351","418,178",,"418,178",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,163,0101213F,Minuteman Squadrons,Y,"57,201",,"57,201","69,110",,"69,110","79,313",,"79,313",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,164,0101316F,Worldwide Joint Strategic Communications,Y,"13,268",,"13,268","13,364",,"13,364","44,424",,"44,424",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,165,0101318F,Service Support to STRATCOM - Global Strike,Y,"7,062",,"7,062","6,833",,"6,833","56,203",,"56,203",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,166,0101328F,ICBM Reentry Vehicles,Y,"378,983",,"378,983","256,758","100,000","356,758","733,182",,"733,182",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,168,0102110F,MH-139A,Y,"14,679",,"14,679","5,900",,"5,900","7,046",,"7,046",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,169,0102326F,Region/Sector Operation Control Center Modernization Program,Y,839,,839,722,,722,709,,709,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,170,0102417F,Over-the-Horizon Backscatter Radar,Y,,,,"130,401",,"130,401",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,171,0202834F,Aviation Support Equipment  - General,Y,"6,097",,"6,097","10,733",,"10,733","1,028",,"1,028",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,172,0203345F,Operations Security (OPSEC),Y,,,,,,,"45,000",,"45,000",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,173,0205219F,MQ-9 UAV,Y,"6,841",,"6,841","32,600",,"32,600","16,723",,"16,723",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,174,0205671F,Joint Counter RCIED Electronic Warfare,Y,"3,325",,"3,325","3,382",,"3,382","2,816",,"2,816",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,175,0207040F,Multi-Platform Electronic Warfare Equipment,Y,,,,"7,000",,"7,000",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,176,0207133F,F-16 Squadrons,Y,"107,714",,"107,714","229,857","82,500","312,357","527,739",,"527,739",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,177,0207134F,F-15E Squadrons,Y,"138,345",,"138,345","229,946",,"229,946","322,889",,"322,889",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,178,0207136F,Manned Destructive Suppression,Y,"12,119",,"12,119","15,309",,"15,309","8,128",,"8,128",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,179,0207138F,F-22A Squadrons,Y,"733,581",,"733,581","813,987",,"813,987","950,375",,"950,375",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,180,0207142F,F-35 Squadrons,Y,"45,444",,"45,444","32,203",,"32,203","47,388",,"47,388",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,181,0207146F,F-15EX,Y,"54,875",,"54,875","117,715","40,000","157,715","133,274",,"133,274",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,182,0207161F,Tactical AIM Missiles,Y,"33,701",,"33,701","85,449",,"85,449","98,861",,"98,861",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,183,0207163F,Advanced Medium Range Air-to-Air Missile (AMRAAM),Y,"51,898",,"51,898","50,539",,"50,539","53,277",,"53,277",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,184,0207172F,Joint Advanced Tactical Missile (JATM),Y,,,,"420,110",,"420,110","500,422",,"500,422",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,185,0207227F,Combat Rescue - Pararescue,Y,743,,743,,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,186,0207238F,E-11A,Y,"29,669",,"29,669","15,035",,"15,035",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,187,0207242F,Special Program Applications,Y,,,,,,,"35,149",,"35,149",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,188,0207247F,AF TENCAP,Y,"50,263",,"50,263","52,492",,"52,492","50,913",,"50,913",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,189,0207249F,Precision Attack Systems Procurement,Y,"9,106",,"9,106","13,429",,"13,429","14,602",,"14,602",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,190,0207253F,Compass Call,Y,"115,978",,"115,978",,"90,241","90,241","66,514",,"66,514",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,191,0207268F,Aircraft Engine Component Improvement Program,Y,"58,429",,"58,429","64,073",,"64,073","205,938",,"205,938",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,192,0207325F,Joint Air-to-Surface Standoff Missile (JASSM),Y,"190,710",,"190,710","226,116","200,000","426,116","133,092",,"133,092",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,193,0207327F,Small Diameter Bomb (SDB),Y,"29,047",,"29,047","24,575",,"24,575","25,497",,"25,497",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,194,0207410F,Air & Space Operations Center (AOC),Y,"63,091",,"63,091","99,217",,"99,217","158,871",,"158,871",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,195,0207412F,Control and Reporting Center (CRC),Y,"16,441",,"16,441","17,407",,"17,407","18,137",,"18,137",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,196,0207418F,AFSPECWAR - TACP,Y,"1,380",,"1,380",,,,"5,206",,"5,206",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,198,0207431F,Combat Air Intelligence System Activities,Y,"25,049",,"25,049","35,646",,"35,646","33,700",,"33,700",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,199,0207438F,Theater Battle Management (TBM) C4I,Y,"4,249",,"4,249","6,698",,"6,698","7,014",,"7,014",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,200,0207439F,Electromagnetic Warfare Int Reprog (EWIR),Y,"13,081",,"13,081","38,639",,"38,639","73,523",,"73,523",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,201,0207444F,Tactical Air Control Party-Mod,Y,"11,816",,"11,816",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,202,0207452F,DCAPES,Y,"8,154",,"8,154","8,390",,"8,390","5,254",,"5,254",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,203,0207457F,Air Force Special Warfare (SPECWAR),Y,,,,"27,149",,"27,149","24,423",,"24,423",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,204,0207461F,Flight Operations Systems,Y,,,,,,,"15,978",,"15,978",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,205,0207521F,Air Force Calibration Programs,Y,"2,213",,"2,213","2,242",,"2,242","2,220",,"2,220",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,206,0207573F,National Technical Nuclear Forensics,Y,"1,984",,"1,984",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,207,0207590F,Seek Eagle,Y,"34,982",,"34,982","33,706",,"33,706","36,710",,"36,710",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,208,0207611F,Readiness Decision Support Enterprise,Y,,,,"8,758",,"8,758","6,823",,"6,823",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,209,0207697F,Distributed Training and Exercises,Y,"3,826",,"3,826","4,342","10,000","14,342","83,659",,"83,659",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,210,0207701F,Full Combat Mission Training,Y,"3,808",,"3,808","7,985",,"7,985","6,644",,"6,644",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,211,0208006F,Mission Planning Systems,Y,"78,113",,"78,113","123,103",,"123,103","122,175",,"122,175",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,212,0208007F,Tactical Deception,Y,519,,519,"13,523",,"13,523","48,857",,"48,857",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,213,0208087F,Distributed Cyber Warfare Operations,Y,"28,792",,"28,792","30,893",,"30,893","71,868",,"71,868",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,214,0208088F,AF Defensive Cyberspace Operations,Y,"83,231",,"83,231","121,433",,"121,433","76,758",,"76,758",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,218,0208288F,Intel Data Applications,Y,988,,988,"1,012",,"1,012","7,511",,"7,511",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,219,0301025F,GeoBase,Y,,,,985,,985,403,,403,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,220,0301113F,Cyber Security Intelligence Support,Y,"18,141",,"18,141","14,749",,"14,749",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,226,0301377F,Countering Advanced Conventional Weapons (CACW),Y,834,,834,"1,117",,"1,117","1,343",,"1,343",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,228,0301401F,AF Multi-Domain Non-Traditional ISR Battlespace Awareness,Y,"3,006",,"3,006","2,987",,"2,987","2,754",,"2,754",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,229,0302015F,E-4B National Airborne Operations Center (NAOC),Y,"52,362",,"52,362","55,095",,"55,095","50,873",,"50,873",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,230,0302315F,Non-Kinetic Countermeasure Support,Y,"7,590",,"7,590","7,006",,"7,006","4,024",,"4,024",U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,231,0303004F,EIT CONNECT,Y,"15,531",,"15,531",,,,,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,232,0303089F,Cyberspace and DoDIN Operations,Y,"9,432",,"9,432","9,955",,"9,955",,,,U
3600F,"Research, Development, Test and Evaluation, Air Force",F,07,Operational system development,233,0303131F,Minimum Essential Emergency Communications Network (MEECN),Y,"24,763",,"24,763","98,548",,"98,548","254,837",,"254,837",U
